Product Name,Product Desc,PI File,C1 Desc,C1 MSDS,C2 Desc,C2 MSDS,C3 Desc,C3 MSDS,C4 Desc,C4 MSDS,Manufacturer
ECL-G-11046,Gray Pantone 431C VAR,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11048,Gray BAC 7075,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11049,Gray FLSA4013,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-1105,Dark Gray BAC 70622,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11050,Gray BAC 71020,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11051,Gray BAC 71021,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11052,Dawn Gray,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11055,Gray BAC 725,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11057,Stormy Night Gray,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
ECL-G-11058,Gray Gloss 595B-35164,All Suppliers -TB and MSDS\AKZO\PI Sheets\Eclipse.pdf,PC 233,All Suppliers -TB and MSDS\AKZO\SDS\PC-233.pdf,TR-109,All Suppliers -TB and MSDS\AKZO\SDS\TR-109.pdf,TR-111,All Suppliers -TB and MSDS\AKZO\SDS\TR-111.pdf,TR-112,All Suppliers -TB and MSDS\AKZO\SDS\TR-112.pdf,BMS 10-60 Type I & II/BMS 10-72 Type IX Eclipse High Solids Polyurethane Topcoat Colors 
